Titulo,Preco,Localizacao,Descricao,Tamanho
N/A,R$ 390.000Cond.  R$ 250 | IPTU R$ 1,"Tibery, Uberlândia",", Cod 35282
. Sala ampla conjugada com cazinha com bancada granito;
. Sacada;
. Banheiro social;
. 2 quqrtos sendo 2 suites;
. Lavanderia separada;
. 2 vagas de garagen cobertas;
. Sao 66 mts de area privativa;",66 m²
N/A,R$ 198.800,"Jaraguá, Uberlândia","Apartamento no Bairro Jaragu, localizado na Rua Jacaranda, com 51m2, 01 vaga, sala 02 ambientes, cozinha, 02 quartos, banheiro, rea de serviço, salo de festas, piscina, elevador, playground, portaria. Condomínio possui apartamentos de 51m2 até 58m2, alguns com 02 vagas de garagem, apartamentos com e sem suíte.",51 m²
N/A,R$ 210.000,"Patrimônio, Uberlândia","Vendo apartamento:

** 44,49m²
São 2 quartos;
Banheiro social
Sala
Cozinha
1 vaga de garagem de 12 m².

Apartamento alugado!
*** Ótimo para quem quer investir

Condomínio possui:

Área de lazer: salão de festas, playground, espaço fitness, espaço gourmet, piscinas adulto e infantil, espaço kids.


cep referencial, entre em contato para detalhes da localização.
Consulte esse e outros imóveis em www.canaaimoveis.com.
<i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i>
 


Chave do anúncio: cUzlT5J7lokAMvOf",45 m²
N/A,R$ 240.000Cond.  R$ 206 | IPTU R$ 0,"Brasil, Uberlândia","Apartamento localizado no bairro Custódio Pereira de aproximadamente 47m² de área privativa, com 02 quartos com armários, banheiro social com box armário e espelho, sala em dois ambientes, cozinha com armários planejados, área de serviços e 01 vaga de garagem. Condomínio oferece elevador e gás canalizado.",48 m²
N/A,R$ 180.000Cond.  R$ 65 | IPTU R$ 0,"Jardim Europa, Uberlândia","Apartamento com aproximadamente 51m² de área privativa, sendo, sala, 02 quartos, banheiro social, cozinha, área de serviço e 01 vaga de garagem.",51 m²
N/A,R$ 990.000Cond.  R$ 1.045 | IPTU R$ 0Preço abaixo do mercado,"Osvaldo Rezende, Uberlândia","Apartamento duplex com ótima localização com aproximadamente 380m² de área privativa, sendo sala ampla, sala de tv, copa, lavabo, cozinha com armários, área de serviço com armários, banheiro de serviço, 3 vagas de garagem cobertas. Parte superior com 3 suítes com armários. Condomínio com valor aproximado de R$ 1.045,00",380 m²
N/A,R$ 314.736,"Santa Mônica, Uberlândia","APARTAMENTOS COM A PARTIR DE 50,67 m² DE ÁREA PRIVATIVA, BEM LOCALIZADO, DISPONDO: 01 SALA, 01 BANHEIRO SOCIAL, 01 COZINHA, 02 QUARTOS (SENDO 01 SUÍTE), WC, SACADA, ELEVADOR.",56 m²
N/A,R$ 200.000Cond.  R$ 200 | IPTU R$ 0,"Tubalina, Uberlândia","Apartamento com:
01 vaga de garagem.
Sala.
02 quartos.
Banheiro social.
Cozinha.
Todo montado e muito conservado.. ref. 65241 atualizado em 12/10.",48 m²
N/A,R$ 135.000,"Minas Gerais, Uberlândia","Apartamento com aproximadamente 40m² de área privativa, possui sala, 02 quartos, banheiro social, cozinha, área de serviço e 01 vaga de garagem.",40 m²
N/A,R$ 425.000Cond.  R$ 376 | IPTU R$ 264,"Granja Marileusa, Uberlândia","Lindo e moderno apartamento no Terraço Gaia, móveis planejados em todos os ambientes, recém construído, com iluminação e espelhos.
Apartamento de 62,63m² com 2 quartos, sendo 1 suíte com closet, 1 cozinha integrada com a sala em 2 ambientes, área de serviço separada e vaga de garagem subsolo. Com localização privilegiada na Granja Marileusa esse imóvel está muito próximo de restaurantes, farmácias, escolas, mercados, lojas.

***As informações acerca dos imóveis podem sofrer variações e estão sujeitas a verificação de disponibilidade. Portanto, pedimos aos nossos clientes que entrem em contato com a nossa equipe para atendimento pessoal e direcionado.
Agradecemos a compreensão e nos colocamos à disposição.*** -",63 m²
N/A,R$ 281.104,"Alto Umuarama, Uberlândia","apartamento novo, ótima localização, sala interligada com cozinha, banheiro social, 2 quartos sendo 1 suite, piso porcelanato polido e retificado, bancadas em 
granito, garagem, playground, espaço para salão de festa, elevador.",51 m²
N/A,R$ 285.000Cond.  R$ 150 | IPTU R$ 0,"Santa Mônica, Uberlândia","Excelente apartamento com aproximadamente 61m² de área privativa, possui sala em 2 ambientes com sacada, 2 quartos com armários sendo 1 suíte com sacada, banheiro social com box e armário, cozinha com armários, área de serviço com armário, bancadas em granito, piso porcelanato polido, gesso, recém pintado e 2 vagas de garagem.",61 m²
N/A,R$ 294.945,"Santa Mônica, Uberlândia","Apartamento com sala em dois ambientes, varanda integrada, 
2 quartos sendo um suíte,
Banheiro social,
Cozinha,
Área de serviço, 
1 vaga de garagem,
Elevador,
Próximo ao Parque do Sabiá.",56 m²
N/A,R$ 190.000,"Grand Ville, Uberlândia","Apartamento com aproximadamente 52m² de área privativa, sendo, sala, 02 quartos, banheiro social, cozinha, área de serviço e 1 vaga de garagem.",52 m²
N/A,R$ 395.000Cond.  R$ 180 | IPTU R$ 0,"Tibery, Uberlândia",O apartamento no bairro Tibery possui 80 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro,80 m²
N/A,R$ 435.000Cond.  R$ 400 | IPTU R$ 0,"Tubalina, Uberlândia","Belíssimo apartamento todo mobiliado, sala em dois ambientes com painel de TV, sofá-cama e mesa com 6 cadeiras, 3 quartos com armários sendo um suíte com cama de casal, ar condicionado, mesa de escritório, hall com roupeiro, banheiro social com armário, espelho e box, cozinha com armários, cooktop, coifa, geladeira e microondas, lavanderia com armário, 2 vagas de garagem livres, elevador.",73 m²
N/A,R$ 450.000,"Tubalina, Uberlândia","Apartamentos em excelente localização no bairro Tubalina a 50 metros do Praia Clube, de aproximadamente 76m² de área privativa, 03 quartos sendo 01 suíte, sala ampla em 02 ambientes com sacada, banheiro social, cozinha e 02 vagas de garagem. O condomínio dispõe portaria 24 horas, elevador, salão de festas e playground. Preços à partir de R$450.000,00. Fotos da unidade decorada.",76 m²
N/A,R$ 359.000Cond.  R$ 290 | IPTU R$ 245,"Novo Mundo, Uberlândia","Apartamento muito bem localizado em bairro tranquilo, próximo à supermercados, farmácias e postos. Vista privilegiada para praça arborizada.

Com 60,50m² dois quartos sendo um suíte, sala em dois, ambientes, cozinha, área de serviço independente, duas sacadas, duas vagas na garagem, preparação para ar condicionado e aquecimento solar.

**Todas as informações presentes neste anúncio estão sujeitas a alteração de valores e disponibilidade, sem aviso prévio, tanto por parte do proprietário quanto por parte da SkyBox Imóveis. Consulte os nossos atendentes e Corretores para maiores informações. Compra e venda de imóveis, apenas com corretores credenciados no CRECI da região. As imagens, vídeos e fotos contidas nesse anúncio são de uso exclusivo da SkyBox Imóveis e a divulgação das mesmas sem prévia autorização está sujeita a penalidades previstas por lei.** -",61 m²
N/A,R$ 2.400.000Cond.  R$ 1.200 | IPTU R$ 0,"Morada da Colina, Uberlândia","Apartamento 03 suítes 
Varanda gourmet com 35m²
Ar condicionado central na sala e sacada
Ar condicionado em todos os cômodos
Marcenaria todeschini, planejados em todos os ambientes
Área de lazer com academia, salão de festas, espaço gourmet, piscina 
03 vagas de garagem, vista livre para cidade
Elevador panorâmico",198 m²
N/A,R$ 690.000Cond.  R$ 688 | IPTU R$ 0,"Martins, Uberlândia","Belíssimo apartamento com aproximadamente 102m² com excelente localização, sala ampla em 2 ambientes, 3 quartos com armários sendo 1 suíte, cozinha com armários, banheiro social, área de serviço e 2 vagas de garagem. Condomínio com elevadores, salão de festas e portaria 24 horas.",104 m²
N/A,R$ 175.000Cond.  R$ 270 | IPTU R$ 1,"Chácaras Tubalina e Quartel, Uberlândia","Venda - Apartamento no Bairro Chácaras Tubalina E Quartel - Cód. 220053 
 
 Excelente apartamento no Condomínio Residencial Jaraguá II. 
 Sendo sala, cozinha toda planejada com armários, coifa, cooktop, 1 banheiro social com armário e box, 2 quartos com armários e área de serviço. 
 Sacada com blindex 
 Iluminação toda Led 
 Condomínio com entrada por biometria, salão de festas e 1 vaga de garagem.50m² 
 2 quartos 
 1 banheiro 
 1 vaga 
 
 . 
 Estudo trocas por carro como parte pagamento e chácaras. 
 . Gostou do imóvel Então garanta essa oportunidade ! 
 Entre em contato conosco: / ou aguarde que vamos respondemos inbox ou visite nosso site para mais opções www,seuimovelgold,com,br 
 
 ATENÇÃO: Os preços, valores e informações acima exibidos, poderão sofrer mudanças sem prévio aviso e a qualquer tempo, a critério dos proprietários. Por este motivo todos os preços e informações deverão ser confirmados pela Gold Negócios Imobiliários. 
 
 Para mais informações sobre VALORES e DISPONIBILIDADE acesse nosso site: www,seuimovelgold,com,br OU entre em contato no nosso whats app: / informando o link do imóvel ou o código do imóvel. 
 
 
 
 - Acabamentos: Espelho no banheiro, Iluminação em LED, 
 
 - Características: Armários na cozinha, Ar Condicionado, Armários no banheiro, Armários no quarto, Box no banheiro, Cooktop, Semi mobiliado, 
 
 - Cômodos: Cozinha, Sala de estar, Sala de jantar, Varanda/Sacada, 
 
 - Infraestrutura: Prédio sem elevador, 
 
 - Lazer: Área para churrasco, Permitido Animais, Salão de festas, 
 
 - Proximidades: Bares e restaurantes, Escola, Farmácia, Shopping Center, Supermercado, Faculdade, Hospital, Terminal de ônibus, Zona Oeste, 
 
 - Segurança: Portão eletrônico, Portaria 24 horas,",50 m²
N/A,R$ 884.658Cond.  R$ 300 | IPTU R$ 0,"Santa Mônica, Uberlândia","Apartamentos com área privativa de aproximadamente 102m³, com sala em 2 ambientes, 3 quartos, sendo 1 suíte com closet, cozinha com acesso a varanda gourmet com churrasqueira, área de serviço e 2 vagas de garagem. Condomínio oferece área de lazer com salão de festa, piscina, sauna, academia, brinquedoteca, bicicletário, elevadores, gás canalizado entre outros.",102 m²
N/A,R$ 242.000,"Pampulha, Uberlândia","Apartamentos com 01 vaga ampla na garagem, sala em 02 ambientes, cozinha americana, portas com isolamento acústico, porcelanato extra, detalhes em pastilha, granito (bancadas, peitoris e soleiras).
Aptos 51 m² com 02 quartos e sacada
Aptos 57 m² com 02 quartos sendo 01 suíte opções com ou sem sacada
Aptos 59 m² com 02 quartos sendo 01 suíte opções com ou sem sacada

Disponibilidades e valores sujeito a alteração consulte um de nossos corretores.
Apto 101 - 58,50m² - R$269.000,00

Apto 304 - 56,27m² - R$263.000,00
Apto 306 - 50,30m² - R$242.000,00

Obras Terminadas. Pronto Para. ref. 4522 atualizado em 12/10.",51 m²
N/A,R$ 430.000Cond.  R$ 1.050 | IPTU R$ 0Preço abaixo do mercado,"Centro, Uberlândia","Apartamento no Centro com 180m2, 01 vaga, sala 03 ambientes, cozinha com armrios, 03 quartos sendo 01 suíte, banheiro, rea de serviço, dependência de empregada com 01 quarto, lavabo, salo de festas, 02 elevadores, academia, portaria 24h.",180 m²
N/A,R$ 200.000Cond.  R$ 155 | IPTU R$ 0,"Jaraguá, Uberlândia","Apartamento com aproximadamente 50m² de área privativa, sendo, sala, 2 quartos com armários, banheiro social com armário, cozinha com armários, área de serviço, móveis planejados em todos os ambientes, garagem 1 vaga de garagem. Condomínio contém churrasqueira e quadra poliesportiva.",50 m²
N/A,R$ 600.000,"Centro, Uberlândia","Ótimo apartamento localizado no Centro da Cidade de Uberlândia. Frente a Praça Tubal Vilela, imóvel com metragem de 215m² de área privativa. Dispondo de garagem para um veículo, 3 quartos sendo um suíte (todos os quartos e banheiros com armários). Sala em dois ambientes, cozinha com armários, lavanderia com banheiro completo, piso laminado e taco de madeira, condomínio com portaria 24horas e garagem com portão eletrônico, 2 elevadores. Um prédio com muitas famílias tradicionais, pessoas com idade mais maduras, ambiente familiar.Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",215 m²
N/A,R$ 580.000Cond.  R$ 600 | IPTU R$ 0,"Martins, Uberlândia","Excelente apartamento localizado no bairro Martins, com 107m2 de área privativa, 03 quartos sendo 01 suíte com sacada e 02 semi suítes, varanda gourmet com churrasqueira a carvão, sala em 02 ambientes, cozinha, área de serviço separada, 02 vagas livres.",107 m²
N/A,R$ 285.900,"Luizote de Freitas, Uberlândia","Apartamentos com 4 opções de plantas sendo sala ampla em 2 ambientes, 2 quartos sendo 1 suíte, banheiro social, cozinha, hall e área de serviço.",68 m²
N/A,R$ 220.000Cond.  R$ 120 | IPTU R$ 0,"Centro, Uberlândia","Apartamento em Excelente Localização com 55m² de Área Privativa!
São 02 Quartos Com Armários 01Com Sacada , Sala Ampla com Painel para Tv e Sacada ,Cozinha Planejada, Lavanderia, Banheiro Social e 01 Vaga de Garagem. 8289",55 m²
N/A,R$ 680.000Cond.  R$ 550 | IPTU R$ 0,"Santa Mônica, Uberlândia","Excelente apartamento,
Sala em 2 ambientes,
Varanda gourmet,
3 quartos, sendo 1 suíte,
Banheiro social,
Cozinha,
Lavanderia,
Condomínio conta com:
Portaria 24 horas, 
Piscina aquecida,
Sauna,
Academia,
Salão de festas,
Salão de jogos com pista de boliche,
Quadra poliesportiva,
Área de churrasco com forno de Pizza,
Garagem com 2 vagas.",90 m²
N/A,R$ 150.000,"Chácaras Tubalina e Quartel, Uberlândia","Excelente oportunidade de apartamento bem localizado no bairro Chácaras Tubalina e Quartel, sala com painel de TV, dois quartos com armários, banheiro social com box, cozinha com armários, lavanderia, 01 vaga de garagem.",43 m²
N/A,R$ 436.614,"Lídice, Uberlândia","Ótimo apartamentona região central, com sala de visitas com sacada, dois quartos sendo uma suíte, banho social, cozinha, área serviço, uma vaga na garagem, elevadores. Condomínio esapço projetado para portaria 24 hs, gás canalizado, espaço gourmet. Área privativa de 57,92m2, Fale com equipe Multi.",57 m²
N/A,R$ 350.000,"Patrimônio, Uberlândia","Prédio com:
Portões eletrônicos.
Interfone.
Cerca elétrica.
Alarme.

Apartamento com:

Área Privativa: 92,53 m2.
Área Construída: 129,27 m2.

Duas vagas de garagem.
Sala em 02 ambientes com varanda.
Três quartos sendo 01 suíte.
Banheiro social.
Cozinha.
Lavanderia.

Armários embutidos na suíte e em mais 01 quarto.
Armários e box Blindex nos banheiros.
Armários na. ref. 35417 atualizado em 12/10.",63 m²
N/A,R$ 155.000,"Jaraguá, Uberlândia","2 quartos (1 com armário e cama)
Banheiro Social com armário
Sala em 2 ambientes com estante, painel ripado, parede com detalhes de espelho e com persiana
Cozinha com armários e cooktop novo
Área de serviço com armário
Portaria 24h",44 m²
N/A,R$ 280.000,"Jardim Inconfidência, Uberlândia","Venda - Apartamento no Bairro Condominio New Quality - Cód. 232467 
 
 Apartamento no Bairro Jardim Inconfidência com 53m², 01 vaga, sala, cozinha, copa, 02 quartos, banheiro, área de serviço, lavanderia, salão de festas, piscina infantil, elevador, playground, portaria. 
 Condomínio completo com portaria 24h , elevador ,academia, sauna playgound , próximo ao Centro e Camaru. 
 
 Apartamento completo, com móveis planejados, geladeira,fogão, micro-ondas, máquina de lavar, televisão cama quarda roupas cafeteira.Imóvel 
 Área de serviço 
 Cozinha 
 Elevador 
 Garagem 
 Piscina 
 Playground 
 Salão de festas 
 Segurança 24h 
 Vigia 
 
 . 
 Consulte nosso departamento comercial para confirmar valores e informações, pois poderão sofrer mudanças sem aviso prévio. 
 Gostou do imóvel Então garanta essa oportunidade ! 
 Entre em contato conosco: / ou aguarde que vamos respondemos inbox ou visite nosso site para mais opções www,seuimovelgold,com,br 
 
 ATENÇÃO: Os preços, valores e informações acima exibidos, poderão sofrer mudanças sem prévio aviso e a qualquer tempo, a critério dos proprietários. Por este motivo todos os preços e informações deverão ser confirmados pela Gold Negócios Imobiliários. 
 
 Para mais informações sobre VALORES e DISPONIBILIDADE acesse nosso site: www,seuimovelgold,com,br OU entre em contato no nosso whats app: / informando o link do imóvel ou o código do imóvel. 
 
 
 - Acabamentos: Espelho no banheiro, Piso porcelanato, 
 
 - Características: Armários na cozinha, Ar Condicionado, Armários no quarto, Box no banheiro, 
 
 - Cômodos: Cozinha, Lavanderia separada, Sala de estar, Sala de jantar, 
 
 - Infraestrutura: Garagem coberta, Gás encanado, Prédio com elevador, Vaga livre, 
 
 - Lazer: Academia, Área para churrasco, Permitido Animais, Piscina, Playground, Salão de festas, 
 
 - Proximidades: Bares e restaurantes, Escola, Farmácia, Shopping Center, Supermercado, Faculdade, Hospital, Zona Sul, 
 
 - Segurança: Portão eletrônico, Portaria 24 horas,",51 m²
